datetime,time,pr,pet
12/1/2017,1.51209E+12,4.965791643,57.446875
1/1/2018,1.51476E+12,56.97023761,70.525
2/1/2018,1.51744E+12,6.743558466,73.38333333
3/1/2018,1.51986E+12,105.056803,126.51875
4/1/2018,1.52254E+12,17.64054,184.875
5/1/2018,1.52513E+12,4.653675348,205.56875
6/1/2018,1.52781E+12,0,244.125
7/1/2018,1.5304E+12,0,271.153125
8/1/2018,1.53308E+12,0.394159939,249.9375
9/1/2018,1.53576E+12,0,197.34375
10/1/2018,1.53835E+12,6.866143674,171.6625
11/1/2018,1.54103E+12,36.37634397,103.96875
12/1/2018,1.54362E+12,21.88506043,55.92916667
